"year","month","date","n_obv","n_hot","n_cold","min_temp","max_temp","min_actual","max_actual","mean_actual","sum_actual","min_forecast","max_forecast","mean_forecast","sum_forecast","mae","rmse","max_abs_error","mae_hot","mae_normal","mae_cold","rmse_hot","rmse_normal","rmse_cold"
"2010",3,2010-03-28,48,0,0,18.4,28,6399.19,9819.44,8329.6225,399821.88,6252.56,9967.69,8321.80041666667,399446.42,102.85625,125.567696731683,284.379999999999,NA,102.85625,NA,NA,125.567696731683,NA
"2010",3,2010-03-29,44,0,0,21.1,27.4,6574.99,10652.74,9130.83363636364,401756.68,6459.15,10753.79,9088.42090909091,399890.52,130.433636363636,158.707958456004,343.690000000001,NA,130.433636363636,NA,NA,158.707958456004,NA
"2010",3,2010-03-30,42,0,0,19.2,21.6,6796.05,10221.29,9037.41047619048,379571.24,6684.05,10317.14,9024.05928571429,379010.49,108.172619047619,122.839511064524,241.9,NA,108.172619047619,NA,NA,122.839511064524,NA
"2010",3,2010-03-31,48,0,0,17.3,22.2,6518.43,9851.39,8704.12208333333,417797.86,6488.59,9854.9,8759.75729166667,420468.35,70.6364583333332,95.7369378492439,233.14,NA,70.6364583333332,NA,NA,95.7369378492439,NA
"2010",4,2010-04-01,47,0,0,14.2,24.5,6412.47,9634.49,8499.95255319149,399497.77,6537.29,9723.16,8612.92808510638,404807.62,133.87170212766,147.056621610774,251.199999999999,NA,133.87170212766,NA,NA,147.056621610774,NA
"2010",4,2010-04-02,47,0,0,16.4,22.7,6095.86,8236.87,7389.3570212766,347299.78,6072.28,8361.04,7363.54127659574,346086.44,117.966382978723,147.35877517568,402.4,NA,117.966382978723,NA,NA,147.35877517568,NA
"2010",4,2010-04-03,48,0,0,14.3,22.3,6070.86,8317.03,7483.87104166667,359225.81,6033.18,8416.61,7485.12145833333,359285.83,63.8266666666667,81.7705925134458,185.41,NA,63.8266666666667,NA,NA,81.7705925134458,NA
"2010",4,2010-04-04,47,0,0,14.2,20.7,5890.06,8240.28,7234.79872340426,340035.54,5840.6,8237.53,7261.5114893617,341291.04,63.7459574468085,76.5844682603686,145.88,NA,63.7459574468085,NA,NA,76.5844682603686,NA
"2010",4,2010-04-05,47,0,0,13.7,20.8,5977.8,8838.39,7455.05063829787,350387.38,6020.06,8897.37,7489.21319148936,351993.02,59.3991489361702,78.0227485648706,207.16,NA,59.3991489361702,NA,NA,78.0227485648706,NA
"2010",4,2010-04-06,45,0,0,14.9,23.5,6113.29,9755.45,8424.30911111111,379093.91,6093.5,10015.28,8449.472,380226.24,57.8882222222222,78.5803186413607,259.83,NA,57.8882222222222,NA,NA,78.5803186413607,NA
"2010",4,2010-04-07,46,0,0,17.8,24.5,6369.95,9789.56,8521.28369565217,391979.05,6212.01,9731.35,8462.90934782609,389293.83,80.1734782608695,91.4467978377734,168.82,NA,80.1734782608695,NA,NA,91.4467978377734,NA
"2010",4,2010-04-08,48,0,0,16.6,27.5,6353.6,9909.16,8613.15604166667,413431.49,6280.61,9856.2,8599.64645833333,412783.03,78.4083333333335,92.8291155609778,213.120000000001,NA,78.4083333333335,NA,NA,92.8291155609778,NA
"2010",4,2010-04-09,48,0,0,14.7,23.2,6351.59,9621.02,8441.654375,405199.41,6424.01,9812.09,8518.30770833333,408878.77,82.8879166666667,101.129110938279,245.529999999999,NA,82.8879166666667,NA,NA,101.129110938279,NA
"2010",4,2010-04-10,48,0,0,14.7,27.3,6156.76,8946.08,7796.320625,374223.39,6136.88,9009.95,7850.91166666667,376843.76,79.9310416666667,98.7474924470659,252.48,NA,79.9310416666667,NA,NA,98.7474924470659,NA
"2010",4,2010-04-11,48,0,0,15.6,27.5,5943.22,8841.74,7509.6975,360465.48,5917.62,8973.54,7512.223125,360586.71,63.2685416666666,87.0482289332567,282.440000000001,NA,63.2685416666666,NA,NA,87.0482289332567,NA
"2010",4,2010-04-12,48,0,0,13.4,23.2,6075.46,9755.15,8306.04708333333,398690.26,6060.01,9736.7,8338.72208333333,400258.66,84.7812500000001,103.694079507945,236.440000000001,NA,84.7812500000001,NA,NA,103.694079507945,NA
